family,gaps
amborellaceae,1
austrobaileyaceae,1
trimeniaceae,1
schisandraceae,1
chloranthaceae,"1,3"
canellaceae,"2,3"
winteraceae,"2,3"
lactoridaceae,1
aristolochiaceae,3
piperaceae,"3,6"
myristicaceae,"1,2"
magnoliaceae,6
degeneriaceae,5
himantandraceae,"2,3"
annonaceae,"1,2"
eupomatiaceae,"5,6"
calycanthaceae,1
siparunaceae,1
gomortegaceae,1
monimiaceae,1
hernandiaceae,1
lauraceae,1
asparagaceae,6
eupteleaceae,1
papaveraceae,"1,3"
lardizabalaceae,3
circaeasteraceae,1
menispermaceae,3
berberidaceae,"3,6"
ranunculaceae,"1,3,6"
platanaceae,6
proteaceae,3
trochodendraceae,"1,6"
buxaceae,1
dilleniaceae,"1,3,5,6"
santalaceae,1
loranthaceae,1
olacaceae,"1,3,6"
polygonaceae,"3,5,6"
plumbaginaceae,3
rhabdodendraceae,6
asteropeiaceae,1
physenaceae,1
amaranthaceae,1
caryophyllaceae,1
barbeuiaceae,1
aizoaceae,1
gisekiaceae,1
phytolaccaceae,1
nyctaginaceae,1
molluginaceae,1
portulacaceae,1
cactaceae,1
cornaceae,3
grubbiaceae,3
balsaminaceae,1
marcgraviaceae,1
tetrameristaceae,3
lecythidaceae,1
polemoniaceae,1
fouquieriaceae,1
sapotaceae,"1,3"
ebenaceae,"1,3"
primulaceae,1
symplocaceae,1
styracaceae,1
diapensiaceae,1
actinidiaceae,"1,3"
clethraceae,1
cyrillaceae,1
ericaceae,"1,3"
theaceae,1
stemonuraceae,"1,3"
helwingiaceae,1
aquifoliaceae,"1,3"
campanulaceae,1
menyanthaceae,"3,5"
goodeniaceae,"1,3,5"
asteraceae,"1,3,6"
argophyllaceae,"1,3,5"
escallioniaceae,"1,3"
paracryphiaceae,3
adoxaceae,3
caprifoliaceae,"1,3"
pennantiaceae,3
griseliniaceae,3
pittosporaceae,"1,3"
araliaceae,"3,5,6"
apiaceae,"3,6"
oncothecaceae,5
garryaceae,3
eucommiaceae,1
icacinaceae,"1,3"
rubiaceae,"1,3"
gentianaceae,"1,3,5"
loganiaceae,"1,3,6"
apocynaceae,1
boraginaceae,1
convolvulaceae,1
solanaceae,1
oleaceae,1
gesneriaceae,"1,3,5"
plantaginaceae,"1,3,6"
scrophulariaceae,1
lamiaceae,1
orobanchaceae,1
verbenaceae,1
bignoniaceae,1
acanthaceae,1
paeoniaceae,"3,5"
hamamelidaceae,3
cercidiphyllaceae,3
grossulariaceae,"1,3"
saxifragaceae,"3,6"
crassulaceae,"1,3"
penthoraceae,1
vitaceae,"3,5,6"
geraniaceae,3
melianthaceae,6
combretaceae,1
onagraceae,1
lythraceae,"1,3"
myrtaceae,1
vochysiaceae,"1,3"
melastomataceae,1
crypteroniaceae,1
alzateaceae,3
penaeaceae,1
staphyleaceae,3
stachyuraceae,3
crossosomataceae,"1,3"
anacardiaceae,3
burseraceae,6
sapindaceae,3
meliaceae,5
rutaceae,"1,3"
simaroubaceae,"3,6"
tapisciaceae,3
thymelaeaceae,1
malvaceae,"3,5,6"
bixaceae,3
cistaceae,1
sarcolaenaceae,3
dipterocarpaceae,"3,5"
tropaeolaceae,3
caricaceae,"3,6"
setchellanthaceae,1
resedaceae,1
capparaceae,1
brassicaceae,"1,3,6"
zygophyllaceae,3
fabaceae,"3,5"
polygalaceae,1
rosaceae,"1,3,5,6"
barbeyaceae,1
elaeagnaceae,1
rhamnaceae,3
ulmaceae,3
moraceae,"3,5"
urticaceae,3
coriariaceae,1
cucurbitaceae,3
begoniaceae,"3,5"
fagaceae,3
myricaceae,"1,3"
juglandaceae,"3,6"
casuarinaceae,1
betulaceae,3
celastraceae,1
huaceae,3
connaraceae,"3,6"
oxalidaceae,3
cunoniaceae,3
elaeocarpaceae,3
brunelliaceae,"3,5"
erythroxylaceae,1
rhizophoraceae,"3,5,6"
malpighiaceae,"1,3"
linaceae,3
clusiaceae,1
euphorbiaceae,"1,3"
caryocaraceae,6
ochnaceae,"3,6"
achariaceae,3
violaceae,3
passifloraceae,3
salicaceae,3
